"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","",""
"","Hinton Sidewalk Project","2021000846","  U345-HIN/TO-2.  00 ","  TAP-2020(238)D
TAP-2023(336)D ","TA","Summers","$32,000.00","$568,643.00","9/16/22","","ELR","11/7/22","4/6/22","7/25/23","8/2/23","1/25/24","NA","NDPCE - 6/28/22
PCE - 5/14/25","4/26/24
1/27/25","7/28/25","N/A","N/A","20%","Construction phase authorized in HUB & project has been awarded to contractor; start date not yet announced; ","No","Brisendine","",""
"","Marmet Lens Creek Road 
Pedestrian Safety Improvements","2021000760"," U320-MAR/MT-1. 00 "," TAP-2020(232)D 
TAP-2023(337)D ","TA","Kanawha","$40,000.00","$520,000.00","5/19/22","","BAKER","6/16/22","1/11/22","9/1/22","3/28/23","12/12/22","","NDPCE - 4/8/22
PCE - 3/10/23","5/1/23
3/18/25","","","","15%","Project submitted to Contract Administration to Advertise for Contractor Services; ","No","Brisendine","",""
"","Romney North High Street 
Sidewalk Improvements","2021000445"," U314-ROM/NE-4. 00 "," TAP-2020(227)D 
TAP-2023(137)D ","TA","Hampshire","$80,000.00","$0.00","7/7/23","","THRASHER","7/20/23","","3/18/24","4/29/24","10/7/24","NA","PCE - 11/7/24","1/6/25","7/7/23","9/3/25","",""," Project has been constructed. Final punch list items to be addressed by the contractor when weather permits. ","No","Brisendine","",""
"","Summersville Webster Road 
Sidewalk Improvements","2021000847"," U334-SUM/ME-2. 00 "," TAP-2020(245)D 
TAP-2021(448)D ","TA","Nicholas","$50,400.00","$63,210.97","8/29/22","","ELR","9/21/22","","2/9/23","3/15/23","8/9/23","NA","NDPCE - 5/31/22
PCE - 8/8/23","9/8/23
10/24/23","11/21/23","","","100%","Construction completed. Final billing at the district level to be verified before project is closed. ","Yes","Brisendine","",""
"2021","Madison Main Street Streetscape Phase 2","2022030008","U303-MAD/IS-4. 00","TAP-2021(466)D
TAP-2024(104)D","TA","Boone","$525,000.00","$123,627.41","8/29/23","","BAKER","9/6/23","12/6/22","9/22/23","11/15/23","12/13/23","","NDPCE - 3/15/23
PCE - 2/13/24","6/11/24","6/17/24","11/20/24","9/6/25","100%","Construction completed. Final billing at the district level to be verified before project is closed. ","Yes","Brisendine","",""
"2022","Alderson Memorial Bridge Repairs","2023130024","U213-ALD/ER-5. 00 23","TAP-2022(128)D","TA","Greenbrier","$40,000.00","$0.00","5/7/24","","WVDOH","","9/8/23","","","","NA","NDPCE - 7/28/23","NA","","NA","NA","100%","Inspection services have been completed. Final Inspection Report has been provided to the Sponsor/Town.","Yes","Brisendine","",""
"","Charleston Smith St & Leon Sullivan Walkway","2024200031","U320-CHA/S-25. 00","TAP-2023(347)D
__________","TA","Kanawha","$120,000.00","$120,000.00","3/5/26","","MEAD & HUNT","","9/25/24","","","","","NDPCE - 4/7/25","","","NA","NA","5%","Loaded fee proposal requested and received from the consulting firm. The fee proposal and independent estimates are in review for approvals. Independent Estimate approved; federal authorization requested. ","No","Brisendine","",""
"2023","Cowen Sidewalks","2024510009","U351-COW/EN-25. 00","TAP-2023(340)D","TA","Webster","$72,000.00","$0.00","2/20/26","","BURGESS & NIPLE","","9/18/24","","","","","NDPCE - 2/11/25","","","","","5%","Proposed project agreement prepared and in review for approval to send through for typing, routing and signature.","No","Brisendine","",""
"","Marlinton Sidewalks","2024380005","U338-MAR/LI-25. 00","TAP-2023(341)D
TAP-2025(181)D","TA","Pocahontas","$80,000.00","$215,600.00","","","TURMAN","","8/29/24","","","","","NDPCE - 4/7/25","","","","","5%","Project agreement sent to the Sponsor for signature.  The Sponsor has requested to amend the project area. Sponsor's request is in review. If approved, the scope of work documents and fee proposal will need to be revised with the consultant and a supplemental agreement may also be needed with the sponsor.","No","Brisendine","",""
"2023","Poca Laurel Avenue Sidewalk Extension, Phase II","2024400015","U340-POC/A-25. 00","TAP-2023(342)D
TAP-2023(343)D","TA","Putnam","$368,000.00","$0.00","","","POTESTA","","10/1/24","","","","","","","","","","5%","Sponsor submitted a letter of request to withdraw this project. DOH approved Sponsor's request. Cancellation letter sent to Sponsor.","No","Brisendine","",""
"2023","Philippi Main Street Sidewalks","2024010008","U301-PHI/LI-25. 00","TAP-2023(346)D","TA","Barbour","$60,000.00","$0.00","","","CEC","","9/16/24","","","","","NDPCE - 2/3/25","","","","","5%","Sponsor requested to change the project area for this project due to major water and sewer line problems in the same area.  The Sponsor is reviewing other possible project areas for this grant. A new scope of work meeting will be scheduled when the new proposed project area is determined.","No","Brisendine","",""
"2023","Summersville Webster Road 
Sidewalk Improvements","2024340009","U334-SUM/ME-0. 00","TAP-2023(338)D","TA","Nicholas","$540,000.00","$0.00","","","EL ROBINSON","","","1/31/25","4/16/25","9/11/25","","PCE - 11/12/25","10/23/25","12/3/25","","","15%","This project has been advertised with a letting date of 1/13/2026. Bids received and in review. Apparent lowest bidder came in over project's budget.  Proposed SA#1 to increase the project funding is in channels for review/approval to send to Sponsor.","No","Brisendine","",""
"2024","Bluefield Cumberland Road","2025280005","U328-BLU/EF-0. 00","TAP-2024(149)D","TA","Mercer","$200,000.00","$0.00","","","","","","","","","","","","","","","","A no-cost fee proposal has been requested and received from the consulting firm. An independent estimate is in review. Once approved, a final fee proposal will be submitted and reviewed. When a final contract amount with the consultant is approved, a project agreement with the Sponsor will be prepared. ","No","Brisendine","",""
"","Fayetteville 2nd Avenue Pedestrian Bridge","2025100005","U310-FAY/ET-0. 00","TAP-2024(148)D
TAP-2025(180)D","TA","Fayette","$80,000.00","$260,000.00","","","","","","","","","","","","","","","5%","A proposed project agreement has been sent to the Sponsor for review and signature. Matching funds will need to be submitted by the Sponsor along with the signed agreement. Sponsor's match received and project agreements fully executed. Requested federal authorization for design phase.","No","Brisendine","",""
"2024","Madison State Street Sidewalks, Phase II","2025030001","U303-085 34.12 00","TAP-2024(144)D","TA","Boone","$48,000.00","$0.00","","","","","","","","","","","","","","","","*","No","Brisendine","",""
"2025","Summersville Webster Road Sidewalks, Phase III","2026340012","","TAP-2025(192)D","TA","Nicholas","$527,786.00","$0.00","","","","","","","","","","","","","","","","","No","Brisendine","",""
"2025","Alderson Memorial Bridge Repairs","2026130016","S313-ALD/ER-26. 00","TAP-2025(195)D","TA","Greenbrier","$120,000.00","$0.00","","","","","","","","","","","","","","","","","No","Brisendine","",""
"2025","Athens West Concord Street Railing","2026280035","U328-ATH/EN-4. 00","TAP-2026(213)D","TA","Mercer","$80,000.00","$0.00","","","","","","","","","","","","","","","","","No","Brisendine","",""
"2025","Fayetteville Laurel Street & South Court Street Sidewalks","2026100017","U310-FAYE/TTE-1. 00","TAP-2025(182)D","TA","Fayette","$50,000.00","$0.00","","","","","","","","","","","","","","","","","No","Brisendine","",""
"2025","Hinton Avis Sidewalks, Phase II","2026450009","U345-HIN/TO-2. 01","TAP-2025(194)D","TA","Summers","$60,000.00","$0.00","","","","","","","","","","","","","","","","","No","Brisendine","",""
