"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","OUTSTANDING
INVOICES?","CLOSED
IN HUB?"
"2016","Blackwater North Fork Trail","","U347-NOR/TH-1. 00","NRT-2016-337-D","RT","Tucker","$74,238.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","McClanahan","",""
"2018","Bluestone River Water Trail Group","2019000730","U328-BLU/ES-1. 00","NRT-2018-244-D","RT","Mercer","$150,000.00","$0.00","","","Potesta Eng.","","10/22/2019","","","","","06/21/2022","","","08/18/2023","","100%"," Project is Complete and Final Invoice has been processed ","Yes","McClanahan","",""
"2016","Bridgeport Route 58 Walking Trail","","U317-BRI/DG-7. 00","TEA-2014(082)DTC 
TAP-2018(070)D 
 TAP-2014(136)D ","TA","Harrison","$560,000.00","$0.00","","","","","","","","","","","","","","","","Combined with 2018 Bridgeport.  Construction complete.  Close in Hub.","Yes","Brisendine","",""
"2016","Brooke County Pioneer Trail Exp North Connector","2017000102","U305-PIO/NE-3. 00","TAP-2016(366)DTC","TA","Brooke","$50,000.00","$0.00","","","2/1/19","HDR","4/8/19","11/27/17","10/28/19","","6/30/20","10/20/20","1/7/19","","2/15/21","N/A","","Design Only; Project is 100% complete.","Yes","Brisendine","",""
"2018","Bruceton Mills Side Walk ","","U339-BRU/CE-1. 00","TAP-2016(315)DTC
TAP-2016(316)D","TA","Preston","$120,000.00","$0.00","","","","","","","","","","","","","","",""," 2016, 2017, 2018 combined.  Design and construction complete.   ","Yes","Nunnally","",""
"2016","Bruceton Mills Sidewalk","","U339-BRU/CE-1. 00","TAP-2016-315-DTC
TAP-2016-316-D","TA","Preston","$135,200.00","$0.00","","","","","","","","","","","","","","",""," Construction complete.   ","Yes","Nunnally","",""
"2017","Bruceton Mills Sidewalk","","U339-BRU/CE-1. 00"," TAP-2016(315)DTC 
 TAP-2016(316)D","TA","Preston","$120,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Nunnally","",""
"2017","Buckhannon Gateway West Phase II South","","U349-BUC/KH-14. 00"," TAP-2015(253)DTC 
 TAP-2017(189)D","TA","Upshur","$311,436.00","$18,337.84","","","","","","","","","","","","","","",""," Buckhannon 14.00 and 15.00 combined. Sidewalks/Driveways complete.  Project 90% complete.  Sponsor will contact us when it's complete.  Remaining funds will be bid out and spent, then final inspection.  June 30, 2024 estimated completion date. ","Yes","Osayaba","",""
"2021","Cacapon Intermediate Level Mountain Bike Trails","","U333-CAC/AP-3. 00"," NRT-2023(053)D ","RT","Morgan","$200,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.     ","Yes","Hayes","",""
"2019","Cacapon State Park Mountain Bike Trails Phase I","","U333-CAC/AP-2. 00"," NRT-2019(238)D ","RT","Morgan","$119,948.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Hayes","",""
"2022","Caperton Rail Trail Star City Repaving","2023310027","U331-STA/RC-1. 00"," NRT-2022(127)D ","RT","Monongalia","$176,000.00","$0.00","","","N/A","N/A","5/10/23","","","","N/A","7/12/23","7/19/23","8/10/23","10/21/23","5/24/2024","100%"," Project Complete. Needs supplemental to cover CO ","Yes","Nunnally","",""
"2020","Cheat Mountain North Mower -
Phase 2","","U342-CHE/AT-2. 00"," NRT-2020(234)D ","RT","Randolph","$150,000.00","$0.00","","","","","","","","","","","","","","",""," Construction  90% complete.  Must be completed by 9/28/23.  Completed.  Final inspection 12/5/23.  Awaiting final invoices, then can close. ","Yes","McClanahan","",""
"2020","Cheat Mountain South Mower -
Snowshoe Connector","","U338-CHE/AT-3. 00"," NRT-2020(233)D ","RT","Pocahontas","$150,000.00","$0.00","","","","","","","","","","","","","","",""," Construction  90% complete.  Must be completed by 9/28/23.  Final inspection 12/5/23.  Awaiting final invoices, then can close. ","Yes","McClanahan","",""
"2019","Clay Sidewalk 
Improvements Phase I","","U308-CLA/Y-6.0","TAP-2016(307)DTC
 TAP-2016(308)DTC","TA","Clay","$50,000.00","$0.00","","","","","","","","","","","","","","",""," Complete. ","Yes","Osayaba","",""
"2016","Corricks Field Battlefield Park Development","","U347-COR/RI-1. 00","NRT-2016-342-DTC
NRT-2020-224-D","RT","Tucker","$80,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.  Final inspection 11/9/23.  Photos on PW.  Verify no invoices are outstanding and then close project. ","Yes","McClanahan","",""
"2020","Corricks Ford Battlefield Park 
Development Project",""," U347-COR/RI-1. 00 "," NRT-2020 (224)D ","RT","Tucker","$144,400.00","$0.00","","","","","","","","","","","","","","",""," Design complete. Construction authorized.  Construction Fall 2023. ","Yes","McClanahan","",""
"2017","Cranberry Glades Boardwalk Trail","2017001351","U338-CRA/NB- 1. 00","NRT-2017(164)DTC","RT","Pocahontas","$100,000.00","$0.00","6/23/20","","Potesta","4/7/21","10/12/18","4/7/22","","","n/a","2/24/20","1/1/23","","","","100%"," Design complete.  Working with Cenforce to decide on Construction. ","Yes","Hayes","",""
"2019","Deckers Creek Trail Undercut Restoration",""," N/A "," N/A ","RT","Monongalia","$80,000.00","$0.00","","","","","","","","","","","","","","","","Design and construction complete.","Yes","Brisendine","",""
"2019","East Wetzel Trail 
Resurfacing Project","","U352-WET/ZE-4. 00"," NRT-2019(238)D ","RT","Wetzel","$48,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Nunnally","",""
"2020","Elk River Trailhead Clendenin","2021000441","U320-EL/KR-2. 00"," NRT-2317(004)D ","RT","Kanawha","$150,000.00","$0.00","7/28/2022","","E.L Robinson","8/1/2022","1/12/2022","5/18/2023","2/2/2023","5/19/2023","N/A","5/15/2022","","08/03/2023","8/15/2023","4/2025","100%"," Final invoice #3 recieved 3/27/2025. Final inspection 4/14/2025 ","Yes","Osayaba","",""
"2018","Fairmont Connecting Trails (1)","2019000464","U325-FAI/RM-1. 00","TAP-2018(219)D
 TAP-2018(220)D ","TA","Marion","$120,000.00","$0.00","","","","NA","","","","","","","","","","",""," CANCELLED ","Yes","Scoular","",""
"2017","Fairmont Sidewalk","","U325-FAI/RM-7. 00","TAP-2017(155)DTC  
 TAP-2017(156)D ","TA","Marion","$400,000.00","$260,169.60","","","","","","","","","","","","","","",""," Project is complete, except final punchlist items.  Final Inspection expected Spring 2024.  Project going through auditing before close out.   ","Yes","Osayaba","",""
"2018","Fayette Climbing Access Stabilization & Development","","U310-FAY/ET-1. 00","NRT-2018-211-D
NRT-2018-212-D","RT","Fayette","$80,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Osayaba","",""
"2014","Foundry Street Linkage Trail","2015000615","U331-FOU/ND-1.00","NRT-2014-(219)D","RT","Monongalia","$56,757.20","$14,189.30","","","","Thrasher ","","9/30/2015","","","04/23/2020","","04/29/2021","","","UC30906G","01/02/2024"," Sponsor submitted schedule for project to move forward.  Advertised September 2023.  Materials being purchased and being installed.  Construction at 90%. ","Yes","McClanahan","",""
"2019","Gihon Elementary School Phase II","2017000093","U354-PAR/KE-14.00","TAP-2016(312)D","TA","Wood","$320,000.00","$3,312.18","09/25/2018","","B&N","10/19/2018","5/22/2017","1/18/19","","9/30/2019","5/26/2020","11/25/2020","8/27/2021","09/27/21","12/8/2021","10/5/2022","100%"," Design and construction complete.  CO has came up, contractor has not been fully paid.  Awaiting sponsor to sign supplemental and return it. ","Yes","Nunnally","",""
"2016","Gilbert Sidewalk Enhancements ","","U330-GIL/BE-3. 00","TAP-2016(300)DTC
TAP-2016(368)DTC ","TA","Mingo","$60,000.00","$0.00","","","","","","","","","","","","","","",""," Construction complete.   ","Yes","Hayes","",""
"2018","Gilbert Sidewalk Enhancements - Phase 2 CON","","U330-GIL/BE-3. 00","TAP-2016(300)DTC
TAP-2016(368)DTC","TA","Mingo","$643,000.00","$26,000.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Hayes","",""
"2018","Glendale Park Nature Trail Equipment ","2019000727","U342-GLE/ND-1. 00","NRT-2018-242-D
NRT-2018-243-D","RT","Randolph","$67,746.25","$0.00","","","","","10/24/2019","","","","","07/07/2021","","","06/03/2022","","95%"," Construction is Complete awaiting Final Invoice and Final Site visit scheduled for 11/21/24    ","No","McClanahan","",""
"2017","Glenville Sidewalk Rehabilitation","","U311-GLE/NV-2. 00"," TAP-2017(154)DTC 
 TAP-2020(223)D ","TA","Gilmer","$44,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction completed.   ","Yes","Osayaba","",""
"2020","Glenville Sidewalk Rehabilitation",""," U311-GLE/NV-2. 00 "," TAP-2020(223)D ","TA","Gilmer","$72,000.00","$5,619.79","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Osayaba","",""
"2019","Grafton Streetscape Phase III","","U346-GRA/FT-5.00","TAP-2019(237)D","TA","Taylor","$248,000.00","$121,404.23","","","","","","","","","","","","","","",""," Supplemental Funds fully executed July 2023.  Awaiting Pre-Con.  Under construction.  Completion date is Nov 30, 2023.  Project is complete. ","Yes","Nunnally","",""
"2017","Greenbrier River Trail Resurface","","U338-GRE/EN-4. 00","NRT-2017-163-D","RT","Pocahontas","$120,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Osayaba","",""
"2021","Greenbrier River Trail Trailhead Improvement",""," N/A "," N/A ","RT","Greenbrier","$120,000.00","$0.00","11/7/2023","","N/A","6/22/2023","4/26/2023","3/4/2024","6/4/2024","","N/A","6/21/2023","","","","N/A",""," Construction completed.  Waiting to receive agreement back fully executed. ","Yes","Osayaba","",""
"2019","Harrisville Sidewalk Phase III","","U343-HAR/RI-3.00","TAP-2015(276)DTC  
TAP-2019(230)DTC","TA","Ritchie","$370,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.  Project can be closed. ","Yes","Nunnally","",""
"2017","Hillsboro Elementary School Flashing Lights","","U338-HIL/LS-2. 00"," TAP-2017(166)D 
 TAP-2017(167)DTC ","TA","Pocahontas","$15,250.00","$0.00","","","","","","","","","","","","","","",""," Construction complete.   ","Yes","Hayes","",""
"2011","Howard's Creek Hike/Bike Trail & Ped Bridge","","U313-WHI/TE-1. 02","TEA-2011(184)D","TA","Greenbrier","$1,025,400.00","$0.00","","","","","","","","","","","","","","","100%","FFYs 2014,2015 and 2017 Streetscape projects reallocated to ped bridge.  Construction completed. (not Brisendine project)","YES","Brisendine","",""
"2021","Hundred New Sidewalks","2022520003","U352-HUN/DR-1. 00"," TAP-2021(458)D ","TA","Wetzel","$240,000.00","$0.00","02/15/2023","","Terradon","3/30/23","8/2/22","5/3/23","6/14/23","7/13/23","NA","9/8/2023","9/13/23","9/20/23","2/13/24","7/12/24","99%"," Complete final inspection 9/3/2024 ","Yes","Nunnally","",""
"2016","Hurricane City Park Pedestrian Bridge","","U340-HUR/RI-7. 00","TEA-2014(092)DTC
TEA-2017(118) ","TA","Putnam","$0.00","$0.00","","","","","","","","","","","","","","",""," TA funds put on by management.  Construction complete.   ","Yes","Hayes","",""
"2016","Jane Lew Main Street Streetscape","","U321-JAN/E-4. 00"," TAP-2016(317)DTC
 TAP-2016(318)D","TA","Lewis","$200,000.00","$0.00","","","","","","","","","","","","","","",""," Construction complete.   ","Yes","Hayes","",""
"2017","Lewisburg US 60 SW Replacment South Lafayette","","U313-LEW/SW-1. 00","TAP-2017(182)DTC 
 TAP-2017(183)D  ","TA","Greenbrier","$160,000.00","$255,869.23","","","","","","","","","","","","","","","","Let date April or May, 2023. Advertised. Received Supp Agr and check 6/29/23. Award construction contract July 2023. Construction started 10/28/23.  Complete in June 2024.","Yes","Nunnally","",""
"2016","Madison State Street Streetscape Phase I","2017000230","U303-MAD/IS-2. 00","TAP-2016(358)DTC
 TAP-2016(359)D ","TA","Boone","$401,005.00","$73,548.05","7/20/20","","TERRADON","8/18/22","","10/5/22","10/26/22","12/12/22","","","3/1/23","6/14/23","","","100%","Project Completed","YES","Brisendine","",""
"2017","Martinsburg Train Station Corridor","2016000785","U302-MAR/TI-11. 00"," TAP-2015(271)DTC  
 TAP-2017(191)D ","TA","Berkeley","$677,522.00","$0.00","","","UE2552G","Alpha","","9/6/16","","","","","6/29/20","","","UC3045G",""," Design and construction completed.   ","Yes","Scoular","",""
"2012","Meadow River Trail","2013000847","U313-MEA/DO-2. 02","TERT-2012(618)D","RT","Greenbrier","$1,242,124.24","$162,000.00","","","","Chapman Tech.","","","","10/17/2018","","03/28/2024","07/09/2020","","","",""," Construction 95% complete.  Final Review scheduled early October 2023.  Obtaining quotes to spend remaining funds.  Project complete, ribbon cutting 10/12/23.  Need final invoice.  95% invoiced.  Awaiting Chapman to set up final site visit. ","Yes","McClanahan","",""
"2016","Morgantown Pleasant Street Streetscape","","U331-MOR/GA-19. 00","TAP-2016(309)D 
TAP-2020(17","TA","Monongalia","$128,000.00","$0.00","","","","","","","","","","","","","","",""," Design only.  Complete.   ","Yes","Nunnally","",""
"2021","Morgantown Pleasant Street Streetscape Phase III","2017000090","U331-MOR/GA-19. 00","TAP-2020(175)D","TA","Monongalia","$240,000.00","$558,819.37","03/19/2018","","Alpha","4/1/2018","7/25/2017","6/6/2019","","10/4/21","4/26/24","3/30/21","5/27/2022","06/07/2022","","12/26/23","100%"," Project Complete ","Yes","Nunnally","",""
"2015","Mount Hope Sidewalk and Pedestrian Lighting Phase V","2016000805","U310-MTH/OP-2. 00","TAP-2015(292)DTC
TAP-2015(293)D","TA","Fayette","$300,000.00","$0.00","","","11/13/17","","","9/1/23","","","","","","","","","2/10/22","5G approval to be issued July 2023.","YES","Brisendine","",""
"","Mountwood Park ATV Trail","","U354-MOU/NT-2. 00","NRT-2015(248)D","RT","Wood","","$0.00","","","","","","","","","","","","","","",""," Completed.  Needs closed in system. ","Yes","McClanahan","",""
"2020","New Martinsville Bike Path Extension",""," U352-NEW/MA-2. 00 "," TAP-2020(230)D ","TA","Wetzel","$9,272.00","$81,374.22","","","","","","","","","","","","","","",""," Design complete.  Let date May 9, 2023.  Supp construction funding in progress.  Award to contractor July 2023.  Construction to be completed by 10/6/23.  FFR was 11/2/23.  Complete, needs closed. ","Yes","Nunnally","",""
"2021","New Martinsville Bike Path Extension","2021000739","U352-NEW/MA-2. 00","TAP-2020(230)D","TA","Wetzel","$200,000.00","$0.00","","","SVA","NA","4/6/21","","","","N/A","8/11/22","1/23/2023","3/28/23","8/3/23","11/2/2023","100%"," Project Complete ","Yes","Nunnally","",""
"2016","Nitro Second Avenue Streetscape","","U320-NIT/RO-6. 00","TAP-2016(319)DTC 
TAP-2019(224)D ","TA","Kanawha","$50,000.00","$0.00","","","","","","","","","","","","","","",""," Design only.  Complete.   ","Yes","Osayaba","",""
"2019","Nitro Second Avenue Streetscape","","U320-NIT/RO-6.00","TAP-2016(319) DTC 
 TAP-2019(224)D","TA","Kanawha","$390,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Osayaba","",""
"2019","Oak Hill Central Avenue and Main Street Connector Trail","2017000187","U310-OAK/HI-6.00","TAP-2019(217)DTC","TA","Fayette","$200,000.00","$0.00","","","2/1/19","TERRADON","3/28/19","11/16/17","5/31/19","","","","","","11/18/20","","","Project on hold by Sponsor.  ","Yes","Brisendine","",""
"","Oak Hill Lighting and Security
White Oak Trail Lighting","2017000183","U310-WHI/TE-1.00"," TAP-2016(354)DTC 
 TAP-2016(355)D ","TA","Fayette","$392,000.00","$246,413.60","","","2/1/19","TERRADON","3/28/19","","8/21/19","","4/10/20","","","","11/17/20","6/29/22
3/10/23","","Original award $192,000.  Received reallocated funds from other Oak Hill projects.  Construction contract awarded December 2022.","Yes","Brisendine","",""
"2016","Oak Hill Main St and Central Ave Connector Trail","","U310-OAK/HI-6. 00"," TAP-2016(363)DTC
 TAP-2019(234)D ","TA","Fayette","$60,000.00","$0.00","","","","","","","","","","","","","","","","Design only.  Complete.  ","Yes","Brisendine","",""
"","Panhandle Rail Trail Paving (Weirton)","2019000747","U305-WEI/RT-5. 00","TAP-2021(456)D","TA","Brooke","$16,000.00","$0.00","","","N/A","N/A","","","","","","","9/13/22","","","3/31/23","","Construction Spring 2023.  Finishing up job with own funding. Awaiting final inspection once they finish.  Summer 2023 construction complete.  Invoices expected 10/23.  11/29/23 awaiting Final Invoices.","YES","Brisendine","",""
"","Panhandle Rail Trail Paving 2021","2019000747"," U305-WEI/RT-5. 00 "," TAP-2021(456)D ","TA","Brooke","$56,000.00","$0.00","","","NA","NA","","","","","","","","","","","","Construction Spring 2023.  ","Yes","Brisendine","",""
"2012","Parkersburg - Franklin Elementary","2013000817","U354-FRA/NK-1. 00","SRTS-2012(685)D
SRTS-2012(661)D","TA","Wood","","$0.00","","","Force Account","04/15/2014 A","","","","","07/01/2016 A","","","","","07/01/2016 E","100%"," Construction complete.  ADA issues.  Working with Town to resolve.  Reached out to sponsor multiple times, no response.   ","Yes","Nunnally","",""
"2016","Parkersburg Gihon Elementary School","","U354-PAR/KE-14. 00"," TAP-2016(311)DTC 
 TAP-2016(312)D ","TA","Wood","$64,920.00","$0.00","","","","","","","","","","","","","","",""," Design only.  Complete.  Construction complete as well.   ","Yes","Nunnally","",""
"2013","Parkersburg Pond Run Trail and Bridge","","U354-PAR/KE-13. 00","TEA-2014(107)D","TA","Wood","$593,111.00","$636,206.06","","","","","","","","","","","","","","",""," Project awarded 11/17/22. Under construction, complete in September 30, 2023.  Final Inspection 9/20/23.
Design funds covered under separate agreement.  Complete, needs closed. ","Yes","Nunnally","",""
"2018","Pennsboro Streetscape","","U343-PEN/NS-2. 00","TAP-2015(254)DTC
TAP-2018(209)D ","TA","Ritchie","$200,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction completed.  Project can be closed. ","Yes","Nunnally","",""
"2020","Pennsboro Streetscape","","U343-PEN/NS-2. 00","TAP-2015(254)DTC
TAP-2018(209)D ","TA","Ritchie","$80,000.00","$0.00","","","","","","","","","","","","","","",""," CANCELLED ","Yes","Nunnally","",""
"2022","Petersburg River Park Hike and Bike Trail","2023120013","U312-PET/ER-1. 00"," NRT-2022(126)D ","RT","Grant","$100,000.00","$0.00","","","N/A","N/A","4/18/23","","","","N/A","8/31/23","9/5/23","3/21/24","","TBA","10%"," Project Completed ","Yes","Nunnally","",""
"2020","Pleasant Valley Sidewalk Phase 5",""," U325-PLE/AS-5. 00 "," TAP 2015 (291) D ","TA","Marion","$148,000.00","$243,952.71","","","","","","","","","","","","","","","","Design and construction complete.  ","Yes","Brisendine","",""
"2022","Poca Laurel Avenue Sidewalk Extension","2023400018","U340-POC/AS-1. 00","TAP-2022(115)D","TA","Putnam","$260,000.00","$0.00","8/29/2023","","Potesta","6/6/2023","5/2/23","9/27/23","11/29/23","2/20/24","NA","1/25/24","2/28/23","3/12/24","","8/30/24","100%"," final inspection 9/16/24 ","Yes","Nunnally","",""
"2017","Princeton Thorn Street (South Thorn)","","U328-PRI/NC-8. 02"," TAP-2015(269)DTC 
TAP-2015(298)D  ","TA","Mercer","$160,000.00","$43,293.00","","","","","","","","","","","","","","",""," Design and construction completed.   ","Yes","Nunnally","",""
"2016","Princeton Thorn Street North Side","2016000783","U328-PRI/NC-8. 00","TAP-2015(269)DTC 
TAP-2015(298)D  ","TA","Mercer","$50,000.00","$0.00","","","T&L","10/20/2017 A","","","","","NA","","","","","6/30/2024","100%"," Project complete. ","Yes","Nunnally","",""
"2020","Rainelle Main Street Streetscape Phase 2",""," U313-RAI/NE-8.00 "," TAP-2020(246)D ","TA","Greenbrier","$400,000.00","$0.00","","","","","","","","","","","","","","","","Construction awarded December 2022.  Construction complete Summer 2023.  92.7% complete.  Construction complete.  ","Yes","Brisendine","",""
"2016","Romney Main Street SW (High St to Grafton St)","","U314-ROM/SW-1. 00","TAP-2016(356)DTC 
TAP-2016(357)DTC ","TA","Hampshire","$200,000.00","$0.00","","","","","","","","","","","","","","","","Romney projects combined.  Construction completed.  ","Yes","Brisendine","",""
"2016","Romney Main Street SW (South Side)","","U314-ROM/SW-1. 00","TAP-2016(356)DTC 
TAP-2016(357)DTC ","TA","Hampshire","$322,469.00","$0.00","","","","","","","","","","","","","","",""," Romney projects combined.  Construction completed.   ","Yes","Hayes","",""
"2016","Rupert Phase III Sidewalk","","U313-RUP/ER-3. 00"," TAP-2014(230)DTC  
 TAP-2014(231)D  ","TA","Greenbrier","$99,084.00","$0.00","","","","","","","","","","","","","","","","2014 and 2016 awards.  Total eligible project cost is $247,710. Construction complete.  Verify all invoices have been paid and close.","Yes","Brisendine","",""
"2015","Shinnston Downtown Sidewalk Improvement","2016000779","U317-SHI/NN-8. 00","TAP-2015(263)D","TA","Harrison","$186,903.00","$9,383.00","","","","","","","","","","","","","","",""," Construction awarded. Complete in 2023.  Supplemental in Progress as of end of August 2023.  Mullenax is scheduling final inspection.
Const complete/ final in Fall 2023.   ","Yes","Oliver","",""
"2016","Shinnston Lincoln High School to Rt. 20 Sidewalk (Downtown Sidewalks)","2017000097","U317-SHI/NN-9. 00"," TAP-2016(320)DTC 
 TAP-2016(321)D  ","TA","Harrison","$192,882.00","$0.00","","","UE2696G","Terradon","","10/22/19","","","","","12/15/21","","12/27/21","UC3086G",""," Final Inspection completed in April 2023, District has not closed out in system. ","Yes","Oliver","",""
"2016","Sistersville Downtown Streetscape - Phase II","","U348-SIS/TE-9. 00","TAP-2016(296)DTC 
TAP-2019(225)D ","TA","Tyler","$50,000.00","$0.00","","","","","","","","","","","","","","",""," Design only.  Complete.   ","Yes","Oliver","",""
"2017","Smithers Michigan Avenue","2017001358","U310-SMI/TH-2. 00","TAP-2017(152)DTC  
TAP-2017(153)D ","TA","Fayette","$350,000.00","$168,725.16","4/21/2020","","Turman","NA","2/8/2019","9/21/2020","9/21/2020","5/12/21","12/29/2021","12/01/2021","5/24/2022","6/27/2022","","3/1/2022","100%"," Complete ","Yes","Nunnally","",""
"2018","St. Albans C Street Plaza","","U320-STA/LB-11.00","TAP-2018(279)D","TA","Kanawha","$160,000.00","$44,043.20","","","","","","","","","","","","","","","","Design and construction completed.  Verify invoices are paid and close.","Yes","Brisendine","",""
