"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","",""
"2019","Bath/ Berkeley Springs State Park ","","U333-BA/TH-4.02","TAP-2019(212)D","TA","Morgan","$80,000.00","$0.00","","","","","","","","","","","","","","","99%"," Project billing halted due to contractor bankruptcy. Bonding Company hiring contractor to make punchlist so remaining funding can be used ","No","Oliver","",""
"2019","Marlinton Overlook Trail","2020001161","U338 39 2 00000"," NRT-3902(005)D ","RT","Pocahontas","$44,000.00","$0.00","","","","","","","03/01/2021","12/15/20","","09/07/2021","","SC3910G","09/14/2022","","90%"," Project is 95% complete and is expected to be completed by end of November. Spoke with Sponsor 11/8/24 and expected to send Final Invoice in January. Final Inspection March 2025. ","No","McClanahan","",""
"2019","Sistersville Downtown Streetscape Phase II","2017000105","U348-SIS/TE-9.00","TAP-2019-(225)D","TA","Tyler","$250,000.00","","","","","","","","","","","","","","","","50%"," Sistersville Downtown Streetscape. Planning division is requesting state funding to assist sponsor with meeting match ","No","Oliver","",""
"2020","Bath Streetscape Design 2",""," U333-BATH-5. 00 "," TAP-2020(435)D
TAP-2021(449)D ","TA","Morgan","$75,000.00","$0.00","1/20/2022","","Thrasher","1/20/2023","9/14/2023","9/14/2023","7/11/2023","10/23/23","","2/7/24","11/3/21","","","","90%"," Working with town to reach agreement ","No","Oliver","",""
"2020","Charles Town Augustine Trail Phase 2",""," U319-CHA/RL-2.00 ","  TAP-2017(186)D
TAP-2017(210)D ","TA","Jefferson","$560,000.00","$0.00","","","","","","","","","","","","","","","75%"," Environmental work complete. Alpha to review and edit existing plans. Issues with ROW and soil. ","No","Oliver","",""
"2020","Martinsburg North Queen Street Streetscape Phase 3","2021000200"," U302-MAR/TI-15. 00 ","  TAP-2020(069)D ","TA","Berkeley","$80,000.00","$0.00","","","","","","","","","","","","","","","99%"," engineering proposal received 6/24/25. Project on hold due to overrruns ","No","Oliver","",""
"2020","Martinsburg Roundhouse Phase 2 (Berkeley)",""," U302-ROU/ND-10. 00 "," TAP-2020(253) ","TA","Berkeley","$594,311.00","$0.00","","","","","","","","","","","","","","","90%"," Currently in Construction ","No","Oliver","",""
"2020","Richwood City Sidewalks","2017000133"," U334-RIC/HW-1. 00 "," TAP-2020(432)D ","TA","Nicholas","$320,000.00","$76,151.64","","","","","","","","","","","","","","","99%"," Project Scope has been increased with new funding approved from Governor's office. Waiting on ROW statement from sponsor ","No","Oliver","",""
"2020","Winfield Sidewalk System","2021000849","  U340- WIN/FI-3. 00 "," TAP-2020(239)D ","TA","Nicholas","$100,000.00","$48,313.00","","","","","","","","","","","","","","","90%"," Sponsor has refused to sign and return DOH agreement. ","No","Oliver","",""
"2021","Cedar Grove Sidewalk Improvements Phases 1 & 2","2016000792","U320-CED/AR-2. 00","TAP-2021(452)D","TA","Kanawha","$289,617.00","$343,860.42","","","","","","","","","","","","","","","50%"," Final Inspection 8/16/2024 ","No","Oliver","",""
"2021","North Queen Street Streetscape Improvements Phase 3","2021000200"," U302-MAR/TI-15.00 "," TAP-2021(451)D ","TA","Berkeley","$862,562.00","$327,896.84","","","","","","","","","","","","","","","10%"," engineering proposal received 6/24/25. Project on hold due to overrruns ","No","Oliver","",""
"2021","Ranson 5th Avenue Connector Project","2022190001","U319-SCA/PE-22. 00","TAP-2022(046)D","TA","Jefferson","$312,416.00","$48,747.48","","","","","","","","","","","","","","","10%"," Agreement being processed ","No","Oliver","",""
"2022","Charles Town South George Street Pedestrian Improvements","2023190006","U319-CHA/RL- 3.  00","TAP-2022(113)D","TA","Jefferson","$408,983.00","$0.00","","","","","","","","","","7/31/23","","","","","30%"," Construction underway ","No","Oliver","",""
"2022","Parsons Poplar Street Sidewalk Improvements","2023470003","U347- POP/LA-1.00","TAP-2024(084)D","TA","Tucker","$210,800.00","$0.00","","","Thrasher","2/26/24","","","","","","","","","","","10%"," Spoke with Sponsor June 27 about resolution, still waiting ","No","Oliver","",""
"2022","Richwood City Sidewalks","2017000133"," U334-RIC/HW-  1. 00 "," TAP-2020(432)D ","TA","Nicholas","$160,000.00","$0.00","10/19/2021","","Terradon","","7/27/17","6/25/18","6/25/18","6/25/18","","","","","","","99%"," Agreement executed end of May ","No","Oliver","",""
"2023","Martinsburg Frog Hollow Rail Trail 
Route 9 Overpass Bridge Remediation","2024020003"," U302-MAR/TI-16. 00 "," TAP-2024(121)D ","TA","Berkeley","$320,000.00","$0.00","","","","","","","","","","","","","","","0%"," Waiting for design from CEC ","No","Oliver","",""
"","Huntington Path Improvements","2015000576","U306-HUN/TI-19. 00","TAP-2014(191)DTC
TAP-2014(192)D","TA","Cabell","$346,864.00","$0.00","","","","3/18/21","","","","05/04/17","","","","","","","30%"," PMD being drafted for scope adjustments ","No","Oliver","",""
"","Huntington Bike Ped Improvements TMA TAP","2015001569","U306-HUN/TM-1. 00","TAP-2015(060)DTC
TAP/TMA-2015(061)D","TA","Cabell","$177,453.79","$0.00","","","","","","","","","","","","","","","10%"," Supplemental Agreement sent to sponsor to finish construction ","No","Oliver","",""
"2021","Mountwood Park ATV Trails","2022540005","U354-MOU/NT-3. 00"," NRT-2021(461)D
NRT-2021(462)D ","RT","Wood","$150,000.00","$0.00","","","","","","","","","","","","","","","25%"," Project has been scoped. Combined with 2019 to convert into Non-Motorized Flow Trail 3.0. Sponsor using 5G, have advertised.  Waiting on board meeting to approve to move forward.
 ","No","Oliver","",""
"2019","Mountwood Park ATV Trail","2022540005","U354- MOU/NT-1. 00"," NRT-2021(461)D
NRT-2021(462)D ","RT","Wood","$120,000.00","$0.00","","","","","","","","","","","","","","","30%"," Sponsor ( Wood County Commission) is using 5G.  FHWA approval of swtiching to non-motorized. Project has Fully Executed agreement and Sponsor to Advertise Mid November 
 ","No","Oliver","",""
