"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","DISTRICT","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER"
"2023","Glendale Park Skills Area","2024420012","U342-GLE/ND-2. 00"," No Federal Funds ","SFRTP","8","Randolph","$388,000.00","$0.00","","","","","","","","","","9/29/2025","","","","","0%","  2023 Special State Funded Award. Scoping meeting was Nov 21st at 10:00am. Sponsor to use 5G for both design and construction. ","No","McClanahan"
"2023","Clarksburg Hub Urban Rail Trail Connection- Phase I","2024170018","U317-URBAN-1. 00","TAP-2024(119)D","SFRTP","4","Harrison","$400,000.00","$0.00","N/A","City of Clarksburg","City of Clarksburg","","","","","","","","","","","","0%","Request to re-allocate $100,000.00 Federal Funds originally designated for Glen Elk Streetscape and Green Infrastructure Phase I Project to be redirected toward Clarksburg Hub Urban Rail Trail Connection Phase I. Breakdown as follows: State Funds: $240,000.00 Sponsor Match: $60,000.00 Total: $300,000.00 Federal Funds: $80,000.00 Sponsor Match: $20,000.00 Total: $100,000.00. The city is in litigation with the county for an agreement. As of 9/24/2025 everthing was still at a standstill. Plans being reviewed by PE and district. Agreement sent to sponsor. Adjusted dates to reflect the project schedule. (Osayaba). Agreement will go before council 7/16/2026 for signature approval. Resolution was approved. Check coming soon.","No","Osayaba"
"2023","Lowndes Park Trail System and Bike Park","2024170020","U317-LOW/ND-1.00","N/A","SFRTP","4","Harrison","$284,970.00","$0.00","N/A","OCC","City of Clarksburg","","9/18/2025","","","","","","","","","","0%","DOH not capable of funding extensive Phase I Arc. survey. Considering moving the project behind the high school and are waiting on permission from BOE. As of 3/2025, according to the sponsor, the BOE is selling the property, so still waiting on a project location. Family is donating property to the city, and the litigation is still underway.  Adjusted dates to reflect the project schedule. (Osayaba). City has the deed for the new location for bike park. City sent deed of new location.","No","Osayaba"
"2023","Buckhannon Morton Ave Sidewalk and Lighting Phase 1","2024490005","U349-MOR/LC-1.00","TAP-2023(231)D","TA","7","Upshur ","$75,000.00","$0.00","1/21/2025","City of Buckhannon","City of Buckhannon","2/21/2025","7/11/2024","","","","","11/7/2024","","","","","0%","2023 Grant Award. Scoped 7/11/2024. Agreement in circulation. Waiting on sponsor to send signed agreeement to DOH. 9/24/24 received signed agreement from sponsor. Force Account Approval Request Letter signed 10/29. NTP and Invoice cover letter in circulation. NTP and Invoice Cover Letter sent to sponsor 12/10/2024. Conducted interviews for surveyor. Potesta was chosen.Looking into relocating the project due to a property owner being reculcant on r/w. Pedestrian Crosswalk on Controlled Access Entrance Ramp is in review for project relocation. Rec'd a check for invoice that should not have been paid. Was directed for him to send the check back. Rec'vd check from Morton on 5/19/2025. Coordinating with D7 on plans for the new location. D7 sent over comments about new locaton cross bearings. Scheduling re-scoping meeting. Re-Scoping meeting held 7/29/25. Jay Hollen updated on contacting property owners, noting one individual is still untracked and they await responses before proceeding with the survey. The surveyor will maintain their price and is ready once property owners respond, aiming for a fall survey after leaves fall but before snow. Jay Hollen asked Sharonnia M Osayaba to follow up on slope requirements for a railing or fence, and JJ approved revised crosswalk drawings. Jay Hollen updated on contacting property owners, noting one individual is still untracked and they await responses before proceeding with the survey. The surveyor will maintain their price and is ready once property owners respond, aiming for a fall survey after leaves fall but before snow. Jay Hollen asked Sharonnia M Osayaba to follow up on slope requirements for a railing or fence, and JJ approved revised crosswalk drawings. Waiting to hear back from property owners for permission to access property. ON HOLD cannot access properties. Relocating project to south end. Supporting documents for relocation has been approved. Sponsor will advertise for surveying soon. Gave approval to use OCC list and to follow previous orders. Tim gave approval to delay project due FEMA requirements that take proirity 8/18/2026","No","Osayaba"
"2024","Russellville Trailhead and Meadow River Rail Trail","2025130014","U313-RUS/TR-1. 00","NRT-2024(150)D","RT","9","Greenbrier","$100,000.00","$0.00","10/28/2025","OCC","Michael Baker
","11/07/2025","5/12/2025","3/2/2026","9/8/2026","","","9/26/2025","","","","","0%","waiting on the resolution and check. Received check and resolution. Authorized; waiting on NTP and cover invoice approval from Travis. 30% recieved 1/30/2026. PFR held March 2026. Drawings revised and sent to sponor and district. PS&E complete. Sponsor applied for construction funds. ","No","Osayaba"
"2024","Ansted - Hawks Nest Trail Trestle","2022100006","U310-HAW/KS-1. 00","TAP-2024(131)D","TA","9","Fayette","$675,000.00","$0.00","5/17/2023","N/A","N/A","5/23/2023","","","","","","12/2/2022","","","","","50%","Agreement with Sponsor; Executed agreement recv'd 4.1.25. Waiting to go to CA Let date 12/9. Under construction estimated completion date 10/2026","No","Osayaba"
"2024","Chestnut Street Streetscape","2025310002","U331-CHE/ST-1. 00","TAP-2024(099)D","TA","4","Monongalia","$144,000.00","$0.00","7/22/2026","5G","City of Morgantown","8/6/2026","7/31/2025","","","","","","","","","","0%"," Gave approval to advertise for a design consultant. Sponsor will be selecting a consultant by June 23, 2025. Consultant selected, and a 5g approval letter is in circulation. Scope of work meeting held 7/31/25. Sent SOW notes to Chassitie and Heather for further processing. Awaiting blank fee. Negotiating final fee. Will Phase out project Phase 1 will be from Wiley to Walnut. HDR will give a fee for both phases. Only doing Phase 1 on Wiley St. up to the intersection of Walnut. Fee negotiations is still being discussed. Agreement revised and waiting on signatures from downstairs. Sponsor wishes to resume monthly meetings once the agreement is in place. Agreement is in process for execution. Recieved agreement from sponsor. Request for authorization with PAY AS YOU GO METHOD 7/14/2026. NTP sent. 30% expected 12/18/2026","No","Osayaba"
"2024","Keyser Sidewalk","2025290001","U329-KEY/SE-1. 00","TAP-2023(077)D

TAP-2025(166)D","TA","5","Mineral","","$0.00","12/09/2025","OCC","RKK","12/04/2025","4/29/2025","7/18/2026","","","","2/24/2025","","","","","0%","waiting for 5G docs to be approved; 5G docs were approved via Pickle, and the approval letter is in circulation. A Scope of work meeting was held 4/28/2025. The agreement is in circulation. Received lump fee. Sent blank fee proposal to Jason. Waiting on an independent estimate. On 7/17 sponsor informed that construction funds was applied for. Awaiting on final fee. Sent agreement to sponsor. waiting on documents for execution. NTP given to Sponsor. Rkk and sponsor is in agreement and will send milestone dates soon. PFR 30% estimated for 7/24/26. Recieved 30% 7/20/26","No","Osayaba"
"2024","Oglebay Resort Bike Trail","2025350001","U335-OBG/RE-1. 00","TAP-2025(084)D","TA","6","Ohio","$60,000.00","$0.00","7/30/2026","5G","Wheeling County Commission","8/6/2026","9/18/2025","","","","","7/14/2025","","","","","0%","rbg selected for 5g. scoping meeting held 7/16@1. Scoping meeting rescheduled due to OH rate. Scoping meeting held 9/18/2025 waiting on scope of work notes. Waiting on IE. Agreement and supporting docs under review for futher processing. Agreement sent to sponsor. Sponsors' questions under review. Adjusted dates to reflect the project schedule. (Osayaba) recieved check and excuted agreement. Request for authorization 7/20/2026 NTP sent 8/2026. Project timeline coming soon.","No","Osayaba"
"2025","Cheat River Rail Trail - CDS","2025390002","U339-CRR/TR-1. 00","TAP-2025(098)D","CDS","4","Preston","$312,500.00","$0.00","N/A","Cenforce","Friends of the Cheat","11/10/2025","","","","","","5/28/2025","","","","","0%","Meeting 3/18 to discuss scope of the project. Funding was the big discussion at the meeting. 4.1.25 Met with Sasha and determined one project number and the agreeement will be with FOC and Mulimodal and Cenforc constructing. Waiting on FOC to provide detailed scope, plans, and cost comparison. Expect doc next week. 4.3.25 Reviewing documents and the Agreement is in circulation. Sponsor is reviewing the agreement and PE's reviewing plans. Rec'vd agreement resolution and check from sponsor on 3/11/2025. Agreement signed by both parties. force acct approval packet in circulation. Awaiting for authorization. Authorized in the HUB. NTP and Cover invoice with Travis. Recieved first invoice. Invoice was paid. Work has resumed as of 7/2026","No","Osayaba"
"2025","Town of Clay Streetscape - CDS","2025080001","U308-CLA/ST-1. 00","TAP-2025(111)D

TAP-2025(112)D","CDS ","1","Clay","","$0.00","N/A","OCC","E.L. Robinson","","","","","","","","","","","","0.00%","Sponsor looking for matching funds New Mayor assigned. Spoke with her today 8/13/25 she is looking into funding and who will hire the consultant; Mayor Marlene Lewis is meeting with Senator Bartlet about funding. Will use internal funding to complete 5k sidewalk project including design and construction. Scoped 7/6/26. Meeting will council to determine location. City as determined to use option 1 that was given from the cost estimate. ","",""
"2025","Greenbrier River Trail Maintenace Equipment","2026130012","T613-GBR/EQ-1. 00","TAP-2025(206)D","RT","9","Greenbrier","$74,560.00","","N/A","","","","","","","","","","","","","","","Will use internal funding to complete project. Agreeement being drafted.","",""
"2025","Twin Falls Resort State Park Lodge Trail","2026550014","U355-TFR/TR-1. 00","TAP-2025(204)D","RT","10","Wyoming","$40,060.00","","N/A","Cenforce/DNR","","","","","","","","","","","","","","Will use internal funding to complete project. Cenforce request for aspalt has been sent. ","",""
"2025","City of Spencer Capitol Street Sidewalk and Lighting","2026440004","U344-CAP/ST-1. 00","TAP-2025(205)D","TA","3","Roane","$384,000.00","","N/A","City of Spencer","City of Spencer","","","","","","","","","","","","","Will use internal funding to complete project. Agreement being drafted. Sent R/W and Utl. statement templates. ","",""
"2025","City of Buckhannon W. Main St. Streetscape","2026490008","U349-MAR/ST-1. 00","TAP-2025(000)D","TA","7","Upshur","$103,202.00","","N/A","OCC/City of Buckhannon","City of Buckhannon","","","","","","","","","","","","","Will use internal funding to complete project. Sponsor is advertising for surveyor. ","",""
"2025","City of Morgantown Spruce Street Streetscape","2026310014","U331-SPR/UC-1. 00","","TA","4","Monongalia","$150,000.00","","N/A","5G","","","","","","","","","","","","","","Will use internal funding to complete project. Agreement sent to sponsor. Sponsor advertising soon","",""
"2025","WVU Evansdale Campus Sidewalk Connections","2026310015","U331-WVU/EV-1. 00","TAP-2025(210)D
TAP-2025(211)D","TA","4","Monongalia","$616,000.00","","N/A","5G","","","","","","","","","","","","","","Will use internal funding to complete project. Agreeement drafted. Location and adverting options is being discussed. ","",""
"2025","City of Princeton High Street Sidewalks","2026280033","U328-HIG/ST-1. 00","TAP-2025(212)D","TA","10","Mercer","$60,000.00","","N/A","OCC","","","","","","","","","","","","","","Will use internal funding to complete project. Agreement sent to sponsor. Waiting on OCC.","",""
